gene_id	Stage_0	Stage_1	Stage_2	Stage_3	Stage_4	Stage_5	Stage_6_1	Stage_6_2
StHeBC4_c10386_g0	0	0	0.17	0.22	0	0	0	0.12
StHeBC4_c10388_g0	0	0.18	0.3	1.11	0.89	0.96	0.69	0.39
StHeBC4_c10390_g0	0	0	0	0	0	0	0	0.11
StHeBC4_c10392_g0	0.16	0.71	0.81	0.55	0.76	0	0.43	1.27
StHeBC4_c10394_g0	0.43	0.16	0.38	0.53	0.34	0	0.32	0.5
StHeBC4_c10397_g0	0.07	0.33	0.29	0.6	0.42	0.16	1.23	0.56
StHeBC4_c10399_g0	0	0.17	0.18	0.05	0	0.06	0.5	22.69
StHeBC4_c10400_g0	0	0	0	0	0	0	0	0
StHeBC4_c10402_g0	0	0.29	0.16	6.37	9.38	5.26	0.09	2.17
StHeBC4_c10403_g0	0	0	0.06	0.16	1.25	0	0.08	5.65
StHeBC4_c10406_g0	0	0.09	0.1	0	0	0	0	0
StHeBC4_c10407_g0	0	0.13	0	0.12	0	0	0.21	0
StHeBC4_c10409_g0	0.13	0	0.11	0.16	0.14	0	0	1.72
StHeBC4_c10409_g1	0	0	0	0.21	0	0.17	0.21	0.75
StHeBC4_c10412_g0	0	0	0.37	2.3	1.41	0.87	1.99	1.76
StHeBC4_c10412_g1	103.7	37.29	47.01	34.56	41.27	31.75	42.72	26.41
StHeBC4_c10412_g2	0.02	1.08	0.72	9.75	23.53	0.99	1.51	4.34
StHeBC4_c10412_g5	19.95	8.25	9.65	9.3	10.93	8.87	6.39	4.15
StHeBC4_c10413_g0	0	0.17	0.26	0.65	1.05	0.48	0	0
StHeBC4_c10414_g0	0	0	0	0	0.02	0	0	0.12
StHeBC4_c10416_g0	0.36	2.53	0.97	0.31	0.13	0	0	0
StHeBC4_c10417_g0	0.09	1.15	0.12	0.72	0.35	1.07	0.35	1.8
StHeBC4_c10419_g0	0	0.43	0.23	0.4	0.31	0	0.09	0
StHeBC4_c1041_g0	0	0	0	0	0	0	0	0
StHeBC4_c10420_g0	0	0	0	0	0	0	0	0
StHeBC4_c10423_g0	0	0.25	0.08	1.21	2.61	0.11	0.15	0.48
StHeBC4_c10425_g0	0	0	0	0	0	0.13	0.1	2.01
StHeBC4_c10427_g0	0	0	0	0.13	0.13	0	0.11	0
StHeBC4_c10429_g0	0.36	0	0.45	0.54	0.52	0.2	0	0.06
StHeBC4_c10430_g0	0	0.19	0	0	0	0	0	0.1
StHeBC4_c10431_g0	0	0	0.15	0	0	0	0	0
StHeBC4_c10432_g0	0.04	1.4	0.64	1.06	1.31	0.69	0.13	0.14
StHeBC4_c10433_g0	0.22	3.16	1.27	8.24	18.89	7.79	51.51	24.46
StHeBC4_c10435_g0	0	0	0	0.67	0.68	0	0	2.96
StHeBC4_c10436_g0	0.05	0.04	0	0.03	0	0.07	0.66	0.02
StHeBC4_c10437_g0	0	0	0	0	0	0	0	0
StHeBC4_c10439_g0	0.05	0	0.05	0	0	0	0	0
StHeBC4_c10440_g0	0.05	0.11	0	0.72	0.41	0.23	0	0
StHeBC4_c10441_g0	0	0	0	0.14	0.14	0.19	0.13	0.14
StHeBC4_c10442_g0	1.23	1.4	1.7	2.05	1.57	2.99	2.16	0.38
StHeBC4_c10443_g0	0	0.5	0	0	0	0.12	0	0
StHeBC4_c10443_g1	0	0	0	0	0	0	0	0.25
StHeBC4_c10446_g0	0	0	0	0	0	0	0	0
StHeBC4_c10448_g0	0.08	0	0	0	0	0	0	0
StHeBC4_c10450_g0	0	0	0	0.07	0	0	0	3.32
StHeBC4_c10451_g0	0	0.15	2.2	0.75	0	0	0	0.14
StHeBC4_c10454_g0	0.89	1.1	0.55	0.86	0.96	0.57	0.89	0.6
StHeBC4_c10455_g0	0	0.17	0	0.14	0.33	0	0	0.11
StHeBC4_c10456_g0	0	0.75	2.06	14.45	30.67	8.39	0.14	0.73
StHeBC4_c10457_g0	0	0	0	0	0	0	0	0
StHeBC4_c10458_g0	0	0	0.09	0	0	0	0	0
StHeBC4_c10459_g0	0.31	0.16	0.73	2.1	3.02	0.52	2.21	6.66
StHeBC4_c10461_g0	0	0.6	0.27	0.52	0.66	0.16	0.35	0.94
StHeBC4_c10462_g0	0.13	0.77	0.46	0.26	0.16	0.06	2.17	71.01
StHeBC4_c10463_g0	0	0	0	0.14	0.12	0	0	0
StHeBC4_c10464_g0	0.15	0	0	0.15	0.5	0	0.3	0.15
StHeBC4_c10465_g0	0.24	0.31	1.65	33.84	53.47	439.76	105.66	629.55
StHeBC4_c10466_g0	4.36	0.46	0.65	0.48	0.32	5.82	5.2	1.74
StHeBC4_c10467_g0	0	0.33	2.31	0.96	0.03	0.09	0	0.31
StHeBC4_c10468_g0	0	0	0	0	0	0	0	0
StHeBC4_c10471_g0	0	0	0	0	0.17	0.23	0	0
StHeBC4_c10473_g0	0.05	15.21	4.75	0.13	0	0	0.25	0.22
StHeBC4_c10473_g1	0	1.04	0.59	0.61	0.3	0.32	32.42	89.23
StHeBC4_c10476_g0	0	0	0	0.12	0	0	0	0.12
StHeBC4_c10478_g0	0	3.25	0.1	0.07	0	0.16	0.03	0.2
StHeBC4_c10484_g0	0	0	0	0.18	0	0	0	0
StHeBC4_c10486_g0	0.1	0.08	0.15	0	0	0	0	0.07
StHeBC4_c10487_g0	0	0	0	0.07	0.14	0.64	0.33	77.61
StHeBC4_c10488_g0	0.04	0	0	0.1	0	0	0	0.09
StHeBC4_c10490_g0	0.2	0	1.14	7.04	3.73	0.64	1.36	0.33
StHeBC4_c10493_g0	0	0	0	0	0	0	0	0
StHeBC4_c10494_g0	0.49	0.87	0.6	0.66	0.46	1.09	0.15	0.52
